Name,Description,Headquarter,Industries,Website,Linkedin
Luma Launch,Luma Launch is a multi-million dollar early stage fund with a Launch Program aimed at surfacing the most notable startups and entrepreneurs.,"Santa Monica, California, United States",Venture Capital,www.lumalaunch.com,https://www.linkedin.com/company/luma-launch/
Techstars Sports Accelerator Powered by Indy,The Techstars Sports Accelerator will have a key focus on innovation.,"Indianapolis, Indiana, United States","Advice, Angel Investment, Incubators, Trading Platform, Training",www.techstars.com/programs/sports-program/,None
Techstars IoT,Techstars is excited to announce a new accelerator program focused on the IoT (Internet of Things) market.,"New York, New York, United States",Finance,www.techstars.com/programs/iot-program/,None
Eastern Pacific Accelerator,"The Eastern Pacific Accelerator powered by Techstars, based in Singapore, is the world’s first global MaritimeTech accelerator.","Singapore, Central Region, Singapore","Finance, Financial Services",www.techstars.com/programs/eastern-pacific-prog...,None
Orion Startups,$30K USD per company investment fund that takes startups to reach a Seed Investment in a 5-months acceleration program.,"Chihuahua, Chihuahua, Mexico","AgTech, Analytics, Big Data, E-Commerce, EdTech, Enterprise Software, Health Care, Insurance, Internet of Things, Marketing, SaaS, Wellness",orionstartups.com,https://www.linkedin.com/company/orion-startups/
Sprint Accelerator,"Sprint Accelerator powered by Techstars, bringing together the future of mobile health.","Kansas City, Missouri, United States","E-Commerce, Mobile, Security",sprintaccelerator.com,None
Techstars Kansas City Accelerator,Techstars Accelerator in Kansas City is a leader in the emerging startup ecosystem in Kansas City.,"Kansas City, Missouri, United States",Finance,www.techstars.com/programs/kansas-city-program/,None
EverHaüs,"Early stage, data-driven venture capital fund focused on technology companies in Indonesia","Jakarta, Jakarta Raya, Indonesia",Venture Capital,None,https://www.linkedin.com/company/everhaus/
MiLA Capital (Make in LA),MiLA Capital is a high-touch Venture Capital firm; We fill a vacuum in the hard tech ecosystem and help hardware founders get unstuck,"Los Angeles, California, United States","Financial Services, Hardware, Product Management",www.mila.vc,https://www.linkedin.com/company/make-in-la
Alibaba Entrepreneurs Fund,The Entrepreneurs Fund is a not-for-profit initiative launched by Alibaba Group,"Causeway Bay, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),www.ent-fund.org/en/global/home,https://www.linkedin.com/company/alibaba-entrepreneurs-fund
Highline Beta,Highline Beta is a startup co-creation company that launches new ventures with leading corporations and founders.,"Toronto, Ontario, Canada","Finance, Incubators, Venture Capital",www.highlinebeta.com/,https://www.linkedin.com/company/highline-beta
Nest,"Nest operates corporate accelerator programmes, invests in startups and runs a global entrepreneurial community called Mett?.","Sheung Wan, Hong Kong Island, Hong Kong","Finance, Financial Services, FinTech, Incubators, Venture Capital",nest.vc,http://www.linkedin.com/company/2008127
Starta Accelerator,Starta Accelerator is an Accelerator specializing in technology startups with European R&D roots.,"New York, New York, United States","Angel Investment, Finance, Financial Services, Impact Investing, Venture Capital",startaventures.com/startaaccelerate/,https://www.linkedin.com/company/starta-capital/
EXPERT DOJO,Expert DOJO is a startup accelerator based in Santa Monica.,"Santa Monica, California, United States","Consulting, Enterprise, Venture Capital",www.expertdojo.com,https://www.linkedin.com/company/6636388/admin/
50 Partners,"50 Partners is a French accelerator providing IT startups with mentoring, financing, and office space in central Paris.","Paris, Ile-de-France, France","Finance, Incubators, Venture Capital",www.50partners.fr,http://www.linkedin.com/company/5024472
Rockstart Accelerator,"Rockstart Accelerator supports startups in becoming scalable by providing them with access to the market, capital, expertise, and community.","Amsterdam, Noord-Holland, The Netherlands","Automotive, Business Intelligence, Clean Energy, Consulting, Infrastructure, Internet, Mobile, Mobile Apps, Web Apps",None,https://www.linkedin.com/company/rockstart
Fuel,Fuel is a 12-week enterprise-ready accelerator.,"Bentonville, Arkansas, United States",Southern US,www.fuelaccelerator.com/,None
Atlanta Ventures,"We empower SaaS entrepreneurs to achieve their potential through community, content, and capital.","Atlanta, Georgia, United States",Finance,www.atlantaventures.com/,http://www.linkedin.com/company/atlanta-ventures
Business Finland,"Business Finland is the public provider for innovation funding, and services for internationalization and travel promotion.","Helsinki, Southern Finland, Finland",Business Development,www.businessfinland.fi/,https://www.linkedin.com/company/business-finland/
Starquest Capital,Starquest Capital is a venture capital firm based in France that helps accelerate the growth of entrepreneurs.,"Paris, Ile-de-France, France",Financial Services,starquest-capital.com,https://www.linkedin.com/company/starquest-capital
Dcode,Dcode is a privately-owned company connecting the tech industry and government to drive commercial innovation in the federal market.,"Washington, District of Columbia, United States","Enterprise, Government, GovTech, Information Technology, Internet",dcode.co/work/technology/,https://www.linkedin.com/company/dcodethegov/
Darwin Startups,Darwin Startups is a complete ecosystem for entrepreneurs and startups to evolve.,"Florianópolis, Santa Catarina, Brazil",Latin America,darwinstartups.com.br/,https://www.linkedin.com/company/darwinstartups
FasterCapital,"FasterCapital is an Emirati incubator that offers funding, mentorship, and networking opportunities to tech startups.","Dubai, Dubai, United Arab Emirates",Venture Capital,www.fastercapital.com/,https://www.linkedin.com/company/fastercapital
Axeleo,Axeleo is an independent european acceleration platform dedicated to Enterprise Technology & SaaS startups,"Lyon, Rhone-Alpes, France","B2B, Enterprise Software, Information Technology, SaaS, Software, Venture Capital",www.axeleo.com/,http://htps//www.linkedin.com/company/3277365
R/GA Accelerator,An accelerator program run by R/GA Ventures that leverages investment capital with R/GA's world-class talent base and global brand network.,"New York, New York, United States","E-Commerce, Internet of Things, Mobile, Sports",rgaaccelerator.com,None
Alchemist Blockchain Techstars Accelerator,Alchemist Blockchain Techstars Accelerator focus on the blockchain domain as it applies across industries.,"New York, New York, United States",Finance,www.techstars.com/programs/alchemist-blockchain...,None
ACE Startups,ACE is a Brazilian Seed Stage VC and former 3-time Best Latin American Accelerator,"São Paulo, Sao Paulo, Brazil","Angel Investment, Venture Capital",acestartups.com.br,https://www.linkedin.com/company/2754762/
Leap Venture Studio,Focused on springboarding innovation in the growing pet ecosystem to create a better world for pets and their owners.,"Portland, Oregon, United States","Analytics, Artificial Intelligence, Genetics, Health Diagnostics, Nutrition, Pet, Service Industry, Veterinary",www.leapventurestudio.com/,https://www.linkedin.com/company/leapventure/
Katapult Accelerator,The Katapult Accelerator is an impact-tech accelerator program.,"Oslo, Oslo, Norway","Big Data, Education, Internet of Things, Nutrition, Software",None,https://www.linkedin.com/company-beta/17969162/?pathWildcard=17969162
Climate-KIC Acceleration Programme,"Climate-KIC Acceleration provide with the tools, opportunities and network to transform climate change idea into commercial success.","Berlin, Berlin, Germany","Finance, Financial Services, Training",www.climate-kic.org/programmes/entrepreneurship...,None
Oman Technology Fund,otf aims to be the innovation hub in MENA region & position Oman as the preferred destination for national and international entrepreneurs,"Muscat, Masqat, Oman",Gulf Cooperation Council (GCC),www.otf.om/,https://www.linkedin.com/company/oman-tech-fund/
StartupLab,Technology incubator & early stage investor,"Oslo, Oslo, Norway","Angel Investment, Business Development, Incubators",www.startuplab.no/,https://www.linkedin.com/company/2918767?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2918767%2Cidx%3A3-2-5%2CtarId%3A1474032664769%2Ctas%3Astartuplab
AppWorks,"Based in Taiwan, AppWorks is the largest startup accelerator in Greater Southeast Asia and one of the region's most active early-stage VCs.","Taipei, T'ai-pei, Taiwan","Angel Investment, Incubators, Venture Capital",None,http://www.linkedin.com/company/appworks-ventures
Code for America,"Code for America is working towards a government by the people, for the people, that works in the 21st century.","San Francisco, California, United States","Legal, Legal Tech, Non Profit, Open Source",None,http://www.linkedin.com/company/660862
Oasis500,"Oasis500 is the leading seed investment company and business accelerator in the Tech and Creative Industry spaces based in Amman, Jordan.","Amman, Amman, Jordan","Incubators, Information and Communications Technology (ICT)",www.oasis500.com,http://www.linkedin.com/company/oasis500
Techstars Detroit Accelerator,"Since 2015, Techstars Detroit has helped founders around the world succeed in building transformational businesses.","Detroit, Michigan, United States","Advice, Automotive, Logistics, Training, Transportation",www.techstars.com/programs/detroit-program/,None
Grand Central Tech,Grand Central Tech is a New York-based startup-in-residence program that offers 1 year of free rent without an equity commitment.,"New York, New York, United States","Finance, Financial Services, Incubators, Real Estate, Venture Capital",www.grandcentraltech.com/,https://www.linkedin.com/company/grand-central-tech/
Anthill Ventures,"Anthill Ventures is a Speed Scaling Ecosystem which helps early growth startups in Pre-Series 'A'. We source, invest, scale and syndicate.","Singapore, Central Region, Singapore","Finance, Financial Services, Venture Capital",anthillventures.com/,https://www.linkedin.com/company/anthill-ventures/
Nex Cubed,Nex Cubed is a frontier technology focused seed-stage investor and Accelerator.,"San Francisco, California, United States","Aerospace, Artificial Intelligence, Big Data, Biotechnology, Consulting, Cyber Security, Drones, E-Commerce, Enterprise Software, FinTech, Health Care, Incubators, Information Technology, Internet of Things, Life Science, Machine Learning, Medical, Mobile, Natural Language Processing, Network Security, Online Games, Pharmaceutical, Predictive Analytics, Real Time, Retail Technology, Risk Management, Robotics, SaaS, Security, Software, Telecommunications, Virtual Reality, Wearables, Web Apps",nex3.com/,https://www.linkedin.com/company/nex-cubed
EIT Digital Accelerator,Scaling up European Digital Ventures,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Business Development,www.eitdigital.eu/accelerator/,None
Stadia Ventures,Stadia Ventures is one of the oldest sports- and esports-focused venture firms with a sports business accelerator.,"St Louis, Missouri, United States","Education, Innovation Management, Sports",www.stadiaventures.com,https://www.linkedin.com/company/stadia-ventures
Cleveland Avenue,"Cleveland Avenue is a Chicago-based Venture Fund and Accelerator that brings unparalleled resources to Food, Beverage & Tech businesses.","Chicago, Illinois, United States","Consumer Goods, Food and Beverage, Retail Technology, Venture Capital",www.clevelandavenue.com/,https://www.linkedin.com/company/cleveland-avenue/
QUT Creative Enterprise Australia,"CEA helps start, grow, scale and connect creative companies as Australia’s leading creative accelerator and investment fund.","Kelvin Grove, Queensland, Australia","Advertising, Social Network, Video Games, Virtual Reality, Wearables",www.qutcea.com/,https://www.linkedin.com/company/5155639/
SparkLabs Accelerator,SparkLabs Accelerator is a Korean business accelerator providing investment solutions and mentoring for startups.,"Seoul, Seoul-t'ukpyolsi, South Korea","Automotive, Enterprise Software, Incubators",www.sparklabs.co.kr,https://www.linkedin.com/company/3297677/
Startmate,"At Startmate, we help exceptional founders build iconic companies.","Melbourne, Victoria, Australia","Education, Finance, Internet, Software",www.startmate.com.au,https://www.linkedin.com/company/startmate
Cogo Labs,Cogo Labs is the technology-driven venture accelerator behind some of the Boston area’s fastest-growing web companies,"Cambridge, Massachusetts, United States","Big Data, Internet, Marketing, Web Browsers",None,http://www.linkedin.com/company/cogo-labs
Clean Energy Trust,"Clean Energy Trust supports early-stage startups working on solutions for clean energy, decarbonization, and environmental sustainability.","Chicago, Illinois, United States","Advanced Materials, AgTech, Clean Energy, CleanTech, Energy, Energy Efficiency, Renewable Energy, Transportation",None,http://www.linkedin.com/company/clean-energy-trust
KAUST Innovation Fund,KAUST Innovation Fund is a venture capital firm that invests in startups and early-stage companies.,"Thuwal, Ha'il, Saudi Arabia","Finance, Financial Services, Venture Capital",innovation.kaust.edu.sa/kif/,https://www.linkedin.com/showcase/kaust-innovation-&-economic-development/
Dalma Capital,"Hedge fund manager, accelerator, pioneer in the institutionalization of crypto asset management, custody and investment banking","Dubai, Dubai, United Arab Emirates","Asset Management, Cryptocurrency, Funding Platform, Hedge Funds",None,https://www.linkedin.com/company/dalma-capital-management-limited
Axel Springer Plug and Play Accelerator,Axel Springer Plug and Play is a Berlin-based pre-seed startup accelerator.,"Berlin, Berlin, Germany","Digital Media, Finance, Information Technology, Venture Capital",www.axelspringerplugandplay.com,https://www.linkedin.com/company/5046044
Ideaspring Capital,Ideaspring Capital to invest in home-grown product start-ups,"Bangalore, Karnataka, India",Venture Capital,ideaspringcap.com/,https://www.linkedin.com/company/ideaspring-capital
StartupYard,Central Europe's leading Seed Accelerator for Technology Startups,"Praha, Hlavni mesto Praha, Czech Republic","Artificial Intelligence, Blockchain, Consulting, Cyber Security, Finance, Information Technology, Venture Capital, Virtual Reality",startupyard.com/,http://www.linkedin.com/company/startupyard
Chivas Venture,The Chivas Venture is a venture capital firm.,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",None,https://www.linkedin.com/company/the-venture
Mentors Fund,Mentors Fund invests in and mentors capital efficient startups.,"Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",mentors.fund/,None
"Rakuten Accelerator, Powered by Techstars","Rakuten Accelerator, Powered by Techstars is a mentorship-driven accelerator.","Singapore, Central Region, Singapore","Business Development, Financial Services, Messaging, Social Network",www.techstars.com/programs/rakuten-program/,None
L Marks,L Marks is an early-stage investor and innovation advisory firm.,"London, England, United Kingdom","Finance, Information Technology, Management Consulting",lmarks.com,https://www.linkedin.com/company/l-marks
Z Nation Lab,Seed Fund bridging India-US gap through strong network of experts,"Mumbai, Maharashtra, India","Angel Investment, Venture Capital",None,https://www.linkedin.com/company/z-nation-lab/
CyLon,CyLon is the world's leading cyber security accelerator and seed investment programme.,"London, England, United Kingdom","Cloud Security, Cyber Security, Network Security",cylonlab.com/,https://www.linkedin.com/company/cylon-cyber-london-
WaterEquity,WaterEquity is the first-ever asset manager exclusively focused on solving the global water and sanitation crisis.,"Kansas City, Missouri, United States",Management Consulting,waterequity.org/,https://www.linkedin.com/company-beta/16218459/?pathWildcard=16218459
Venture University,"Multi-Stage Investment Fund & Trade School For Venture Capital, Private Equity & Angel Investing","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",None,https://www.linkedin.com/company/the-venture-university/
CARB-X,"CARB-X is a biopharmaceutical business enterprise that specializes in biotechnology, antibiotics, vaccines, fast diagnostics.","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",www.carb-x.org/,https://www.linkedin.com/company/carb-x
IMPACT Accelerator,"Our mission is to help entrepreneurs, enterprises and institutions in their transformation to become competitive in the digital era","Madrid, Madrid, Spain","Consulting, Education, Finance, Impact Investing, Internet",www.impact-accelerator.com/,http://www.linkedin.com/company/impact-accelerator
Hive Ventures,"A global seed to early stage VC, with a focus on AI, IOT, Blockchain and its applications across Taiwan, HK & SEA regions.","Taipei, T'ai-pei, Taiwan",Venture Capital,www.hiveventures.io,None
Nikkei Inc,"Nikkei is a media group that publishes the financial newspaper Nikkei, as well as an English-language news platform.","Tokyo, Tokyo, Japan","Information Services, Media and Entertainment, News",None,http://www.linkedin.com/company/15937
Breed Reply,Breed Reply is Europe's active operational investors for early-stage companies delivering 'internet of things' solutions.,"London, England, United Kingdom","Consulting, Financial Services, Information Technology, Internet of Things",None,https://www.linkedin.com/company/breed-reply
Starburst Ventures,Starburst Ventures is a global aerospace startup accelerator and venture capital fund.,"Paris, Ile-de-France, France","Aerospace, Financial Services, Venture Capital",starburst.aero/,https://www.linkedin.com/company/starburst-aerospace-accelerator
MuckerLab,MuckerLab is the operating and acceleration platform of Mucker Capital.,"Santa Monica, California, United States","Cloud Data Services, Incubators",www.muckercapital.com/muckerlab/about/,http://www.linkedin.com/company/muckerlab
Launcher,LAUNCHER is a startup studio focused on seed and early stage investments and startups in Central Europe,"Bratislava, Bratislava, Slovakia (Slovak Republic)","B2B, Finance, Venture Capital",launcher.sk,https://www.linkedin.com/company/launcher-sk
MIT delta v,"delta v is MIT’s premier venture accelerator, that prepares entrepreneurs to hit escape velocity and launch into the real world.","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",entrepreneurship.mit.edu/accelerator,https://www.linkedin.com/company/martin-trust-center-for-mit-entrepreneurship
MedTech Innovator,"MedTech Innovator is the premier nonprofit global competition and accelerator for medical device, digital health, and diagnostic companies.","Los Angeles, California, United States","Health Diagnostics, Medical Device, mHealth",medtechinnovator.org/,https://www.linkedin.com/company/medtech-innovator/
Blueprint Health,Blueprint Health is a mentorship-driven startup accelerator program supporting companies at the intersection of health and technology.,"New York, New York, United States","Business Development, Fitness, Health Care, Wellness",www.blueprinthealth.org,http://www.linkedin.com/company/blueprint-health-llc
Lair East Labs,LAIR EAST LABS is a startup accelerator for founders interested in launching businesses in the US with access to the Asian Market.,"New York, New York, United States","Financial Services, Internet, Venture Capital",None,https://www.linkedin.com/company/lair-east-labs/
Financial Solutions Lab,"The Financial Solutions Lab cultivates, supports and scales innovations that advance the financial health of LMI and underserved consumers.","San Francisco, California, United States","Asset Management, Finance, Financial Services, FinTech, Information Technology, Non Profit",finlab.finhealthnetwork.com/,None
GSF,"Founded in 2011, GSF finances mobile startups and is an Indian venture capital firm and accelerator.","Gurgaon, Haryana, India","Consulting, Finance, Venture Capital",None,http://www.linkedin.com/company/2740400
The Cedars-Sinai Accelerator,The Cedars-Sinai Accelerator is a collaboration to help today’s technology innovators turn their ideas into breakthroughs.,"Los Angeles, California, United States","Finance, Health Care, Information Technology",www.csaccelerator.com/,https://www.linkedin.com/company/csaccelerator/
Plarium.com,Plarium Global is a web platform for creating mobile and social experiences for hardcore gamers worldwide.,"Herzliya, Tel Aviv, Israel","Gaming, Mobile, Social",None,https://www.linkedin.com/company/1949408
43North,"43North is a $5M startup competition located in Buffalo, NY.","Buffalo, New York, United States","Angel Investment, Finance, Social Entrepreneurship, Venture Capital",www.43north.org/,https://www.linkedin.com/company/43north
Hackquarters,Hackquarters accelerated 150+ startups and helped 40+ corporates to innovate with startup collaboration,"Istanbul, Istanbul, Turkey","Communities, Corporate Training, Information Technology, Innovation Management, Internet, Social Impact, Venture Capital",None,https://www.linkedin.com/company/hackquarters/
The Startup Training,The largest online pre-accelerator in Italy: we supported 400+ startups in just 3 years,"Milan, Lombardia, Italy","Education, Incubators",None,https://www.linkedin.com/school/the-startup-training
Via ID,"Via ID is a business accelerator that supports in the long term startups related to new modes of mobility: daily, smart, sustainable.","Marquette Lez Lille, Nord-Pas-de-Calais, France","Automotive, Car Sharing, Smart Cities, Transportation, Venture Capital",www.via-id.com/,https://www.linkedin.com/company/10608724
H2 Ventures,"H2 Ventures is an early stage Venture Capital firm investing in Fintech, Data & A.I.","Sydney, New South Wales, Australia","Artificial Intelligence, Big Data, Financial Services, FinTech, Venture Capital",h2.vc,https://www.linkedin.com/company/h2-ventures
Propel Capital,"Propel Capital is the investment arm of Sting, the leading eco system for startups in the Nordics.","Stockholm, Stockholms Lan, Sweden","Angel Investment, Asset Management, Finance",sting.co/propel-capital/,https://www.linkedin.com/company/propel-capital-ab/about/
MasterCard Labs,"MasterCard Labs, a new global Research & Development arm dedicated to bringing innovative payment solutions to market with greater speed","Purchase, New York, United States","Greater New York Area, East Coast, Northeastern US",www.mastercard.us/en-us/about-mastercard/corp-r...,None
COLABORATIVOx,The Impact Accelerator & Open Innovation Lab,"Mexico City, Distrito Federal, Mexico","Artificial Intelligence, Blockchain, FinTech, Impact Investing",www.colaborativox.com,https://www.linkedin.com/company/colaborativox
FinTech Innovation Lab,FinTech Innovation Lab is building the future of fintech in NYC by supporting early & growth stage fintech startups.,"New York, New York, United States","Enterprise, Financial Services, FinTech",None,http://www.linkedin.com/company/fintech-innovation-lab
F10 FinTech Incubator & Accelerator,F10 FinTech Incubator & Accelerator is a FinTech Incubator and Accelerator which supports and guides Startups.,"Zürich, Zurich, Switzerland","Finance, Financial Services, FinTech, Incubators, InsurTech, Mobile Payments, Payments",www.f10.ch,https://www.linkedin.com/company/f10-incubator-&-accelerator?trk=company_logo
Lenovo Capital and Incubator Group (LCIG),Lenovo Capital and Incubator Group is an accelerator and venture capital firm.,"Beijing, Beijing, China","Finance, Incubators",capital.lenovo.com/,https://www.linkedin.com/company/lenovocapital/about/
Fintech Fusion,"Switzerland’s first fintech accelerator, starting in October 2015 with 10 startups in Geneva. No equity. Performance-based.","Carouge, Geneve, Switzerland","Banking, Big Data, Financial Services, FinTech, Incubators, Insurance",www.fintechfusion.ch,None
Thrive Agtech Accelerator,Thrive Agtech Accelerator,"Los Gatos, California, United States","Agriculture, AgTech, Food and Beverage",thriveagtech.com/,https://www.linkedin.com/company/thriveagtech/
Hatch Blue Ltd,"Hatch Blue is an aquaculture accelerator supporting start-ups in the fields of aquaculture feed, health, genetics, tech and production.","Cork, Cork, Ireland",Management Consulting,None,https://www.linkedin.com/company/hatch-aquaculture-accelerator/
FuturePlay,FuturePlay is an accelerator and early-stage investor that does investments in deep tech startups.,"Seoul, Seoul-t'ukpyolsi, South Korea","Analytics, Artificial Intelligence, Big Data, Hardware, Health Care, Human Computer Interaction, Software, Venture Capital",www.futureplay.co,https://www.linkedin.com/company/futureplay
SparkLabs Taipei,SparkLabs Taipei is a mission to help more startups here to go global.,"Taipei, T'ai-pei, Taiwan",Business Development,None,https://www.linkedin.com/company/sparklabs-taipei/
Catalyst Fund,Catalyst Fund accelerates fintech startups delivering digital financial services to low-income customers in emerging markets.,"Boston, Massachusetts, United States","Emerging Markets, Finance, Financial Services, FinTech",www.catalyst-fund.org,None
01booster,01Booster is a seed accelerator especially focuses on Asian market.,"Tokyo, Tokyo, Japan",Financial Services,01booster.com/english,https://www.linkedin.com/company/open-meetup-inc-
London Co-Investment Fund,"London Co-Investment Fund is a venture firm that invests in high growth tech, science, and digital startups in London.","London, England, United Kingdom","Finance, Financial Services, Venture Capital",lcif.co/,None
BoomStartup,BoomStartup is a Utah-based accelerator that provides seed funding and mentorship to tech entrepreneurs.,"Salt Lake City, Utah, United States","Consulting, Financial Services, Venture Capital",boomstartup.com,http://www.linkedin.com/company/boomstartup
Lanzadera Accelerator,Lanzadera Accelerator provides entrepreneurial solutions for entrepreneurs to implement robust business models.,"Valencia, Comunidad Valenciana, Spain","Business Development, Consulting, Finance, Venture Capital",www.lanzadera.es/,http://www.linkedin.com/company/lanzadera
Hangar 51,Hangar 51 helps start-ups build stronger businesses through a 10-week period of collaboration with International Airlines Group.,"London, England, United Kingdom",Travel,www.hangar51.com/,https://www.linkedin.com/company/iag-hangar51/
LayJax Ventures,Venture Fund,"Beverly Hills, California, United States","Angel Investment, Digital Media, Incubators, Media and Entertainment, Product Search, Venture Capital",None,https://www.linkedin.com/company/layjax-ventures/
muru-D,Accelerator in Australia and Singapore for globally ambitious tech companies,"Sydney, New South Wales, Australia","AgTech, Association, Banking, Communities, EdTech, Finance, Venture Capital",None,http://www.linkedin.com/company/muru-d
World Startup Factory,World Startup Factory (WSF) offers acceleration programs to startups with impact driven solutions and convincing business models.,"The Hague, Zuid-Holland, The Netherlands","Business Development, Social Entrepreneurship",worldstartupfactory.com/,https://www.linkedin.com/company/world-startup-factory
Global Accelerator Network,"Global Accelerator Network, an invite-only organization of short-term, mentorship-driven with terms-favorable-to-entrepreneurs accelerators.","Boulder, Colorado, United States","Finance, FinTech, Training",None,https://www.linkedin.com/company/ganconnect/
K5 Ventures,"K5 Ventures is an American early-stage funding platform that hosts, mentors, accelerates, and invests in technology-driven businesses.","Newport Beach, California, United States","Automotive, Data Visualization, Health Care, Information Technology, Internet of Things, Machine Learning, Marketing Automation, Robotics",k5ventures.com/,https://www.linkedin.com/company/2372077?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-2-7%2CtarId%3A1436377591479%2Ctas%3Ak5
1337 Ventures,1337 is a technology accelerator and early stage venture capital focused on doing pre-seed and seed stage investments in Malaysia.,"Kuala Lumpur, Kuala Lumpur, Malaysia","Banking, Financial Services, Venture Capital",None,https://www.linkedin.com/company/1337-ventures-sdn-bhd-?trk=company_logo
Capria Ventures,"Provide tools, training, connections, fundraising support and seed funding to new impact fund managers.","Seattle, Washington, United States","Finance, Financial Services, Venture Capital",www.capria.vc/,https://www.linkedin.com/company/capria
Founder Friendly Labs,Experienced Founders and $200k+ in Credits,"Palo Alto, California, United States","Artificial Intelligence, Big Data, Cloud Computing, Consumer, Enterprise Software, FinTech, Incubators, Machine Learning, Natural Language Processing",www.joinffl.com/,https://www.linkedin.com/company/7797700
Blue Startups,Blue Startups is a Top 20 Accelerator in the US (Techcrunch) focused on helping scalable-technology companies compete on a global scale.,"Honolulu, Hawaii, United States","Financial Services, Information Technology, Venture Capital",www.bluestartups.com,http://www.linkedin.com/company/blue-startups-llc
25Madison,25Madison is a VC firm and innovation hub that enhances and accelerates early-stage and new business concepts.,"New York, New York, United States","Consulting, Finance, Financial Services, Management Consulting, Venture Capital",25madison.com/,https://www.linkedin.com/company/25madison/
Extreme Venture Partners,"Extreme Venture Partners is a venture capital firm specializing in start-up, early and seed stage investments.","Toronto, Ontario, Canada","Angel Investment, Banking, Finance, Impact Investing, Venture Capital",www.evp.vc/,https://www.linkedin.com/company/extreme-venture-partners/
EuropeanPioneers,EuropeanPioneers is a startup accelerator that boosts digital SMEs and web entrepreneurs in the European media and content sector.,"Berlin, Berlin, Germany","Internet, Venture Capital",europeanpioneers.eu/en/,None
Imagine Lab,Imagine Lab is a Microsoft-backed incubator and accelerator.,"Santiago, Region Metropolitana, Chile","Business Development, Finance, Internet, Venture Capital",imaginelab.cl,https://www.linkedin.com/company/imagine-business-lab
Cites,The Center for Technology Innovation and Social Enterprise (CITES) is an initiative of Sunchales Sancor Insurance Group.,"Sunchales, Santa Fe, Argentina","Incubators, Venture Capital",None,http://www.linkedin.com/company/cites
Motus Ventures,"A combination of recent technology shifts and emerging consumer trends – internet connected cars, vehicle to vehicle communications.","Redwood City, California, United States","Automotive, Finance, Venture Capital",www.motusventures.com/,https://www.linkedin.com/company/motus-ventures/
Social Enterprise Greenhouse,Social Enterprise Greenhouse creates positive social and economic impacts by supporting social entrepreneurs,"Providence, Rhode Island, United States","East Coast, New England, Northeastern US",segreenhouse.org/,None
Desafía,Desafía bridges Silicon Valley and Spanish startups and entrepreneurs.,"San Francisco, California, United States","Business Development, Financial Services, Information Technology",desafia.us,https://www.linkedin.com/company/desafia
TLabs,TLabs is a startup accelerator and early-stage seed fund for internet and mobile technology startups in India.,"Noida, Uttar Pradesh, India","Incubators, Venture Capital",tlabs.in,http://www.linkedin.com/company/tlabs
REACH,"REACH is an accelerator owned and operated by Second Century Ventures, the investment arm of the National Association of Realtors®.","Chicago, Illinois, United States","Commercial Real Estate, Incubators, Real Estate, SaaS",narreach.com/,http://www.linkedin.com/company/nar-reach-
MouseBelt,The only full-service blockchain accelerator in the world,"San Francisco, California, United States","Blockchain, Digital Marketing, Finance, Incubators, Marketing, Venture Capital",None,https://linkedin.com/company/mouse-belt
The Brandery,The Brandery is nationally ranked as one of the top startup accelerators in the US.,"Cincinnati, Ohio, United States","Angel Investment, Banking, Finance",brandery.org,http://www.linkedin.com/company/the-brandery
StartersHub,StartersHub is a leading early-stage technology seed fund based in Istanbul and San Francisco.,"Istanbul, Istanbul, Turkey","Artificial Intelligence, Big Data, FinTech, Hardware, InsurTech, Machine Learning, Productivity Tools, SaaS, Software",www.startershub.org/,https://www.linkedin.com/company/startershub
Sting,Sting enables talented people to turn their ideas into sustainable businesses.,"Stockholm, Stockholms Lan, Sweden",Incubators,www.sting.co,http://www.linkedin.com/company/108052
Spring Accelerator,A pioneering accelerator that supports businesses and services whose products & service can transform the lives of adolescent girls,"Nairobi, Nairobi Area, Kenya",2015,www.springaccelerator.org/,https://www.linkedin.com/company/spring-accelerator
Unbank.Ventures,FinTech/Blockchain: Incubation - Acceleration - Investment,"San Francisco, California, United States",FinTech,www.unbankventures.com/,https://www.linkedin.com/company/unbankventures/?viewAsMember=true
AUC Venture Lab,AUC Venture Lab is the American University in Cairo’s startup accelerator/incubator.,"Cairo, Al Qahirah, Egypt",American University in Cairo,schools.aucegypt.edu/business/aucvlab/Pages/def...,https://www.linkedin.com/in/auc-venture-lab-650168101/
Betatron,"Betatron is a Hong Kong based startup investment firm and accelerator program, which invests up to US$500K per startup.","Sheung Wan, Hong Kong Island, Hong Kong","Finance, Financial Services, Venture Capital",www.betatron.co/,http://www.linkedin.com/company/13219096
Women's Startup Lab,"Women’s Startup Lab is a founder accelerator program, empowering women to be strong leaders.","Menlo Park, California, United States","Incubators, Social Entrepreneurship, Women's",None,https://www.linkedin.com/company/women's-startup-lab
